Step	Time	Epot	Ekin	Etot	T
416	0.000416	0.004432	946.388413	946.392845	1.047977
417	0.000417	0.004456	946.391529	946.395985	1.047980
418	0.000418	0.004480	946.394649	946.399129	1.047984
419	0.000419	0.004505	946.397772	946.402277	1.047987
420	0.000420	0.004529	946.400900	946.405430	1.047991
421	0.000421	0.004554	946.404033	946.408586	1.047994
422	0.000422	0.004578	946.407169	946.411747	1.047998
423	0.000423	0.004603	946.410309	946.414912	1.048001
424	0.000424	0.004628	946.413454	946.418082	1.048005
425	0.000425	0.004653	946.416603	946.421255	1.048008
426	0.000426	0.004678	946.419755	946.424433	1.048012
427	0.000427	0.004703	946.422912	946.427615	1.048015
428	0.000428	0.004728	946.426073	946.430801	1.048019
429	0.000429	0.004753	946.429239	946.433991	1.048022
430	0.000430	0.004778	946.432408	946.437186	1.048026
431	0.000431	0.004804	946.435581	946.440385	1.048029
432	0.000432	0.004829	946.438759	946.443588	1.048033
433	0.000433	0.004855	946.441941	946.446795	1.048036
434	0.000434	0.004880	946.445126	946.450007	1.048040
435	0.000435	0.004906	946.448316	946.453223	1.048043
436	0.000436	0.004932	946.451510	946.456442	1.048047
437	0.000437	0.004958	946.454709	946.459667	1.048050
438	0.000438	0.004984	946.457911	946.462895	1.048054
439	0.000439	0.005010	946.461118	946.466128	1.048057
440	0.000440	0.005036	946.464328	946.469364	1.048061
441	0.000441	0.005063	946.467543	946.472605	1.048064
442	0.000442	0.005089	946.470762	946.475851	1.048068
443	0.000443	0.005115	946.473985	946.479100	1.048072
444	0.000444	0.005142	946.477212	946.482354	1.048075
445	0.000445	0.005169	946.480443	946.485612	1.048079
446	0.000446	0.005195	946.483678	946.488874	1.048082
447	0.000447	0.005222	946.486918	946.492140	1.048086
448	0.000448	0.005249	946.490161	946.495410	1.048089
449	0.000449	0.005276	946.493409	946.498685	1.048093
450	0.000450	0.005303	946.496661	946.501964	1.048097
451	0.000451	0.005330	946.499917	946.505247	1.048100
452	0.000452	0.005358	946.503177	946.508535	1.048104
453	0.000453	0.005385	946.506441	946.511826	1.048107
454	0.000454	0.005413	946.509709	946.515122	1.048111
455	0.000455	0.005440	946.512982	946.518422	1.048115
456	0.000456	0.005468	946.516258	946.521726	1.048118
457	0.000457	0.005496	946.519539	946.525035	1.048122
458	0.000458	0.005523	946.522824	946.528347	1.048126
459	0.000459	0.005551	946.526113	946.531664	1.048129
460	0.000460	0.005579	946.529406	946.534985	1.048133
461	0.000461	0.005608	946.532703	946.538311	1.048137
